Acc_X,Acc_Y,Acc_Z,G_X,G_Y,G_Z,M_X,M_Y,M_Z
0.01,0.97,-0.01,2.44,2.26,1.22,54.13,-26.43,-35.3
0.01,0.98,-0.02,1.77,2.14,1.1,54.77,-26.68,-35.63
0.01,0.97,-0.02,2.32,2.32,0.61,54.1,-27.12,-35.25
0.01,0.97,-0.02,2.32,2.5,0.24,54.11,-26.77,-35.99
0.01,0.97,-0.02,3.23,2.56,2.08,54.49,-26.66,-34.53
0.01,0.97,-0.02,2.99,2.81,1.28,54.65,-26.89,-34.56
0.02,0.97,-0.02,2.26,2.5,0.85,54.39,-27.27,-34.28
0.01,0.97,-0.02,2.93,2.44,0.61,54.41,-26.9,-34.88
0.01,0.97,-0.01,1.77,2.38,0.79,54.61,-26.82,-35.08
0.01,0.97,-0.02,2.75,2.81,0.98,53.96,-26.72,-35.29
0.02,0.97,-0.02,1.77,2.08,1.04,54.6,-26.25,-34.34
0.01,0.97,-0.02,3.05,2.69,1.04,54.5,-26.4,-35.16
0.02,0.97,-0.02,2.2,2.62,0.67,54.92,-26.79,-35.14
0.01,0.97,-0.01,2.38,2.14,0.92,54.48,-27.43,-35.51
0.01,0.97,-0.02,2.44,2.38,1.59,54.46,-26.71,-36.04
0.02,0.97,-0.02,2.44,2.14,0.85,54.19,-26.87,-35.06
0.01,0.97,-0.02,1.83,2.38,0.43,54.43,-26.75,-34.34
0.01,0.97,-0.01,2.38,2.38,0.67,54.96,-27.04,-35
0.01,0.97,-0.01,2.08,2.5,0.98,54.72,-26.86,-35.08
0.01,0.97,-0.01,1.77,2.32,0.55,54.04,-26.25,-34.56
0.02,0.97,-0.01,3.3,2.32,1.04,54.63,-26.4,-35.24
0.01,0.98,-0.01,0.92,2.2,-0.18,54.46,-26.21,-34.36
0.02,0.97,-0.01,1.89,2.5,0.85,54.87,-26.68,-34.4
0.02,0.97,-0.02,2.32,2.26,1.16,54.32,-26.59,-35
0.02,0.97,-0.02,2.87,2.32,1.59,54.41,-26.28,-33.95
0.02,0.97,-0.01,2.14,2.38,0.67,54.32,-26.51,-34.72
0.02,0.97,-0.01,1.53,2.44,0.55,54.16,-26.27,-34.33
0.02,0.97,-0.02,1.95,2.32,0.61,54.46,-26.44,-35.08
0.01,0.97,-0.02,1.83,2.38,0.73,54.68,-26.93,-35.44
0.01,0.97,-0.01,2.32,2.26,0.67,54.38,-26.66,-35.89
0.01,0.97,-0.02,2.2,2.38,0.61,54.65,-26.76,-35.28
0.01,0.96,-0.01,2.32,2.32,0.55,54.63,-26.51,-33.67
0.01,0.97,-0.02,1.1,2.32,0.98,54.94,-27.22,-34.44
0.02,0.97,-0.02,2.81,2.62,1.59,54.83,-26.56,-35.97
0.02,0.97,-0.03,2.14,2.08,0.67,54.59,-27.42,-34.23
0.02,0.97,-0.02,2.5,2.62,0.61,54.86,-27.1,-34.02
0.02,0.97,-0.02,1.59,2.26,0.73,54.55,-27,-34.46
0.01,0.96,-0.02,1.71,2.56,1.16,54.97,-27.17,-34.92
0.01,0.97,-0.02,2.99,2.75,1.28,54.83,-27.42,-35.22
0.01,0.97,-0.02,2.56,2.56,0.73,54.46,-26.78,-34.22
0.02,0.97,-0.01,2.5,2.56,0.98,54.82,-26.51,-33.46
0.02,0.97,-0.02,2.99,2.5,1.16,54.33,-26.45,-35.39
0.02,0.97,-0.02,2.32,2.69,0.67,54.69,-26.71,-33.53
0.01,0.97,-0.01,1.65,2.5,0.37,54.04,-26.78,-34.41
0.01,0.97,-0.02,2.87,2.62,0.98,54.59,-27.25,-33.94
0.01,0.97,-0.01,1.53,2.5,0.31,54.94,-27,-35.17
0.02,0.97,-0.01,2.01,2.69,0.85,54.19,-26.66,-34.56
0,0.98,-0.02,2.69,2.5,0.55,54.8,-26.43,-34.8
0.01,0.97,-0.02,2.08,2.44,1.28,54.39,-26.94,-34.89
0.01,0.97,-0.01,1.83,2.32,0.85,54.43,-26.65,-34.58
0.01,0.97,-0.02,2.44,2.62,0.61,54.98,-26.88,-34.72
0.02,0.97,-0.02,2.93,2.56,0.98,54.37,-26.72,-35.69
0.01,0.97,-0.02,2.2,2.2,1.04,54.63,-26.79,-34.08
0.01,0.97,-0.02,1.53,2.62,0.55,54.27,-26.68,-35.17
0.01,0.97,-0.02,1.46,2.44,0.06,54.64,-27.09,-34.72
0.02,0.97,-0.02,1.4,2.5,0.24,54.72,-27.09,-35.06
0.01,0.97,-0.02,2.69,2.2,0.49,54.82,-27.04,-35.13
0.01,0.97,-0.01,2.87,2.5,1.77,54.97,-26.66,-33.95
0.02,0.97,-0.01,1.28,2.38,0.31,54.35,-26.73,-34.55
0.01,0.97,-0.02,2.32,2.62,0.73,54.91,-26.81,-35.13
0.02,0.97,-0.02,1.71,2.38,0.79,54.42,-26.88,-34.84
0.01,0.97,-0.02,2.32,2.69,1.04,54.64,-26.94,-35.13
0.01,0.97,-0.02,2.14,2.56,1.16,54.32,-26.42,-34.89
0.02,0.96,-0.02,2.87,2.26,0.55,55.05,-26.54,-33.63
0.01,0.97,-0.02,2.87,2.75,1.22,54.42,-26.34,-34.99
0.01,0.98,-0.01,3.17,2.38,0.49,54.86,-26.61,-35.6
0.01,0.97,-0.03,1.71,2.5,0.61,54.82,-27.09,-35.66
0.01,0.97,-0.01,0.79,2.26,1.46,54.63,-26.73,-35.4
0,0.97,-0.01,2.32,2.38,1.16,54.7,-26.67,-34.53
0.02,0.97,-0.01,2.93,2.75,0.49,54.88,-26.73,-34.61
0.01,0.97,-0.02,2.2,2.44,-0.49,55.02,-26.1,-34.4
0.01,0.97,-0.01,0.85,2.26,0.79,54.85,-26.67,-33.92
0.01,0.97,-0.01,2.69,2.69,0.55,54.54,-26.6,-33.96
0.01,0.97,-0.02,2.38,2.62,0.85,54.77,-26.67,-34.79
0.01,0.97,-0.02,2.32,2.5,0.61,55.04,-26.55,-33.96
0.01,0.98,-0.02,2.26,2.75,1.59,54.09,-26.29,-34.85
0.01,0.97,-0.02,2.44,2.5,0.43,54.13,-26.76,-34.89
0.01,0.97,-0.01,2.08,2.62,0.61,54.49,-26.39,-34.55
0.01,0.97,-0.01,2.5,2.44,0.61,53.93,-26.15,-34.99
0.01,0.97,-0.01,1.83,2.5,0.43,54.27,-26.66,-34.35
0.01,0.97,-0.01,3.6,2.87,1.59,54.13,-26.77,-34.53
0.01,0.97,-0.01,2.26,2.62,1.22,54.36,-26.66,-35.71
0.02,0.97,-0.02,1.16,2.75,0.98,54.28,-25.98,-34.4
0.01,0.97,-0.02,1.95,2.44,0.67,54.1,-26.2,-34.45
0.01,0.97,-0.01,2.69,2.69,0.98,53.65,-26.62,-35.55
0.02,0.97,-0.02,1.89,2.5,0.92,54.17,-27.11,-34.95
0.01,0.98,-0.02,2.99,2.62,1.71,54,-26.59,-34.72
0.01,0.97,0.01,1.16,1.4,-0.79,54.47,-26.48,-35.45
0,0.97,-0.01,4.03,2.01,1.22,54.38,-26.44,-35.23
0.01,0.97,0,3.3,2.93,0.61,54.5,-26.64,-34.18
0.01,0.97,-0.01,1.22,2.44,0.61,54.27,-26.09,-34.66
0.01,0.96,-0.01,1.34,2.69,0.43,54.22,-26.25,-33.94
0.01,0.97,-0.01,3.05,2.44,0.98,54.55,-26.71,-35.05
0.01,0.97,-0.01,0.67,2.44,-0.31,54.59,-26.44,-35.24
0.01,0.97,0,2.69,2.14,0.79,53.49,-26.49,-34.06
0,0.97,-0.02,2.99,2.87,1.16,54,-26.68,-34.62
0.01,0.97,0,0.73,2.2,0.92,54.16,-26.38,-33.76
0.01,0.97,-0.01,2.44,2.75,1.4,54.04,-26.55,-35.34
0.01,0.97,-0.02,2.93,3.23,1.59,54.21,-26.83,-34.75
0.01,0.97,0,4.46,3.23,2.44,53.8,-26.87,-34.34
0,0.97,0,2.44,2.2,0.49,54.19,-26.33,-35.21
0,0.97,0,2.08,2.38,0.12,53.83,-26.43,-34.55
0.01,0.98,0,2.62,2.2,0.18,53.69,-26.83,-34.46
0,0.96,-0.01,1.1,2.75,1.34,54.05,-26.95,-34.55
0.01,0.97,-0.01,1.22,2.5,0.24,53.86,-25.89,-35.36
0,0.97,0,4.21,2.93,1.1,54.27,-26.45,-35.05
0,0.97,-0.01,0.49,2.26,1.4,53.91,-26.4,-35.14
0,0.97,-0.01,2.44,2.93,0.79,54,-25.87,-34.56
0,0.97,-0.01,1.83,2.44,0.49,53.8,-26.15,-36.07
0,0.97,0,2.14,2.44,0.79,54.17,-26.17,-35.5
0,0.97,-0.01,3.3,2.81,0.79,53.45,-26.25,-34.05
0,0.97,-0.01,1.59,2.5,0.92,53.71,-27.28,-35.93
0.01,0.97,-0.01,3.23,2.5,0.73,54.32,-26.49,-35.6
0,0.97,0,2.5,2.38,0.67,54.41,-26.18,-35.8
0,0.97,-0.01,2.44,2.99,0.73,53.8,-26.29,-35.25
0,0.97,-0.01,2.69,2.75,0.85,54.09,-26.25,-34.29
0,0.97,-0.01,2.62,2.75,0.98,53.5,-26.5,-34.78
0,0.97,0.01,2.69,2.5,1.1,53.39,-26.64,-34.9
0,0.97,-0.01,2.08,2.81,0.55,53.59,-26.72,-34.29
0,0.97,-0.01,2.2,2.26,0.55,53.53,-26.33,-35.27
0,0.97,0,1.89,2.32,0.61,54.04,-26.5,-34.86
0,0.97,0,2.81,2.5,0.98,52.99,-26.12,-33.92
0,0.97,0,2.38,2.56,0.43,53.88,-26.55,-35.02
0,0.97,-0.01,2.38,2.2,0.92,53.69,-26.32,-35.66
0,0.97,0,3.05,3.3,0.55,53.99,-26.61,-35.22
0,0.97,0,4.15,2.87,1.65,53.8,-26.33,-35.4
0,0.97,0,1.53,2.62,1.22,53.96,-26.16,-33.53
0,0.97,0,2.38,2.62,0.49,53.96,-26.65,-35.21
0,0.97,0,2.87,2.56,0.85,53.13,-26.12,-36.13
0,0.97,0,2.01,2.5,0.85,53.92,-26.87,-34.23
0,0.97,0,3.36,2.87,1.16,54.38,-27.04,-34.56
0.01,0.97,0,0.43,2.01,0.06,54.16,-26.37,-34.89
0,0.97,-0.01,1.59,2.62,0.31,53.02,-26.27,-33.22
0,0.97,-0.01,0.73,2.32,0.18,53.67,-26.89,-35
0,0.98,0,2.87,2.75,0.79,53.36,-26.46,-34.36
0,0.97,-0.01,1.53,2.44,0.92,53.19,-26.53,-35.4
-0.01,0.97,-0.01,2.32,2.56,0.43,53.54,-27.11,-34.38
0,0.97,-0.01,1.83,2.56,0.24,53.02,-26.95,-35.19
0,0.97,-0.01,2.56,2.38,0.73,53.86,-26.54,-34.48
0,0.97,0,2.14,2.69,0.31,53.67,-26.4,-34.39
0,0.97,-0.01,2.08,2.56,0.55,53.41,-26.29,-34.55
0,0.97,-0.02,1.71,2.08,1.04,53.74,-26.9,-34.56
0,0.97,0,1.4,2.69,0.24,53.75,-26.34,-34.83
0,0.97,-0.01,2.44,2.87,0.98,53.88,-26.67,-33.75
0.01,0.97,-0.01,2.56,2.32,0.49,53.8,-26.4,-34.29
0,0.97,-0.01,2.2,2.56,1.16,53.71,-26.56,-34.94
0,0.97,-0.01,2.38,2.62,0.73,53.88,-27.09,-34.97
0,0.97,-0.01,1.22,2.75,0.92,54.19,-26.46,-34.61
-0.01,0.97,-0.01,2.93,2.69,1.1,53.23,-26.43,-34.57
0,0.97,-0.01,2.38,2.38,0.98,53.81,-27.08,-35.33
0,0.97,-0.01,1.71,2.26,0.18,53.76,-27.06,-35.19
0,0.98,0,2.69,2.62,0.92,53.89,-27.12,-36.22
0,0.97,-0.01,2.2,2.62,0.67,53.66,-27.11,-34.14
0,0.97,-0.01,2.99,2.56,0.61,53.41,-26.6,-34.78
0,0.97,-0.01,2.38,2.69,0.49,53.49,-26.92,-34.27
0,0.97,-0.01,2.81,2.69,1.1,53.92,-27.1,-35.35
0,0.97,0,2.99,2.87,0.98,54,-27.29,-34.83
0,0.97,-0.01,2.26,2.62,0.79,53.17,-26.75,-34.75
0,0.97,0,2.38,2.38,0.73,53.59,-27.23,-35.42
0,0.97,-0.01,2.75,2.38,0.67,54.03,-27.59,-35.18
0,0.97,0,2.26,2.5,0.79,53.66,-27.32,-35.4
-0.01,0.97,-0.01,2.32,2.5,0.92,53.93,-26.56,-35.11
0,0.97,-0.01,2.38,2.5,1.1,54.17,-27.21,-35.07
0,0.97,-0.01,1.71,2.56,0.49,53.78,-27.19,-34.92
0,0.97,-0.01,2.81,2.38,0.98,53.8,-27.09,-35.4
0,0.97,-0.01,2.75,2.44,1.04,53.39,-27.25,-35.16
0,0.97,-0.01,2.26,2.69,0.67,53.17,-26.53,-35.62
0,0.97,-0.01,2.14,2.5,0.43,53.09,-26.49,-34.51
0.01,0.98,-0.03,1.95,2.26,-1.04,54.58,-27.38,-35.64
0,0.97,-0.02,2.5,2.26,-0.43,53.54,-27.08,-35.53
0.01,0.98,0,4.15,2.08,0.31,54.15,-27.27,-35.38
0.01,0.97,-0.01,2.5,2.32,0.67,54.02,-27,-36.76
0,0.97,0,1.59,2.62,0.85,54.09,-26.31,-35.6
0,0.97,-0.01,3.05,2.44,0.98,53.72,-26.2,-34.28
0.01,0.97,0,1.65,2.5,0.24,53.88,-26.62,-35.42
0.01,0.97,0,2.81,2.2,1.28,53.72,-26.61,-35.82
0,0.97,0,2.38,2.62,1.04,53.47,-25.95,-36.99
0.01,0.97,0,1.89,2.44,0.49,53.85,-26.45,-36.04
0.01,0.97,0,3.85,2.69,1.28,54.14,-26.44,-35.91
0.01,0.97,0,0.73,2.62,0.55,53.05,-26.12,-35.73
0.01,0.97,0,-0.92,2.44,-0.61,53.5,-25.87,-35.82
0,0.97,0,3.6,2.5,1.1,54.08,-26.38,-35.21
0.01,0.97,-0.01,2.93,2.44,1.34,54.25,-26.14,-35.68
0.01,0.97,0,2.38,2.5,0.55,53.89,-25.43,-36.27
0,0.98,0,1.4,2.62,0.73,53.15,-26.25,-35.62
0.01,0.97,0,3.72,2.93,1.71,53.23,-26.56,-35.05
0,0.97,0,1.46,2.38,0.49,53.76,-26.12,-35.74
0,0.97,0,2.81,2.75,1.28,53.47,-25.55,-35.4
0,0.97,0,2.01,2.5,0.98,53.44,-26.21,-35.72
