Acc_X,Acc_Y,Acc_Z,G_X,G_Y,G_Z,M_X,M_Y,M_Z
-0.02,-0.04,0.98,2.26,2.5,0.49,-15.87,21.7,-32.29
-0.02,-0.04,0.99,2.26,2.44,0.61,-15.73,21.26,-32.76
-0.02,-0.04,0.98,2.38,2.38,0.67,-15.36,21.53,-32.06
-0.02,-0.03,0.99,2.2,2.38,0.61,-16.28,21.3,-32.23
-0.02,-0.04,0.98,2.2,2.32,0.55,-16.64,21.44,-32.31
-0.02,-0.03,0.98,2.26,2.38,0.67,-15.97,21.3,-32.64
-0.02,-0.04,0.98,2.2,2.44,0.43,-15.83,21.53,-31.77
-0.02,-0.04,0.98,2.26,2.5,0.73,-16,21.41,-33.56
-0.02,-0.03,0.98,2.26,2.38,0.31,-16.04,21.72,-32.01
-0.02,-0.04,0.98,2.2,2.44,0.43,-16.06,21.51,-32.54
-0.02,-0.04,0.99,2.2,2.38,0.61,-15.94,21.81,-33.33
-0.02,-0.04,0.98,2.26,2.5,0.67,-16.19,21.8,-31.34
-0.02,-0.04,0.98,2.14,2.38,0.73,-15.76,21.84,-32.09
-0.02,-0.03,0.98,2.32,2.44,0.49,-15.77,21.63,-32.12
-0.02,-0.04,0.99,2.38,2.44,0.55,-15.19,21.07,-33.18
-0.02,-0.03,0.98,2.26,2.5,0.55,-16.02,21.52,-31.68
-0.02,-0.04,0.98,2.26,2.14,0.55,-16.14,21.8,-31.04
-0.02,-0.04,0.98,2.08,2.26,0.43,-16.06,21.83,-32.1
-0.02,-0.04,0.99,2.38,2.32,0.61,-15.56,22.06,-32.7
-0.02,-0.04,0.98,2.26,2.5,0.73,-16.02,21.89,-33.15
-0.02,-0.03,0.99,2.38,2.44,0.67,-15.67,22.56,-33.04
-0.02,-0.03,0.99,2.32,2.44,0.61,-18.71,21.46,-32.28
-0.02,-0.04,0.99,2.32,2.5,0.67,-16.27,21.58,-31.53
-0.02,-0.04,0.98,2.38,2.32,0.67,-16.48,22.25,-33.45
-0.02,-0.03,0.99,2.26,2.38,0.67,-16.24,21.96,-33.11
-0.02,-0.04,0.99,2.26,2.44,0.61,-15.69,21.64,-31.47
-0.02,-0.04,0.98,2.32,2.38,0.55,-15.34,21.97,-32.47
-0.02,-0.03,0.98,2.5,2.26,0.67,-16,21.29,-30.86
-0.02,-0.03,0.99,2.26,2.62,0.61,-15.93,21.55,-32.65
-0.02,-0.04,0.98,2.2,2.26,0.67,-14.95,22.03,-32.69
-0.02,-0.04,0.98,2.26,2.56,0.61,-15.78,21.94,-32.14
-0.02,-0.04,0.99,2.32,2.14,0.49,-15.71,21.5,-32.02
-0.02,-0.04,0.99,2.44,2.44,0.55,-15.38,21.47,-32.64
-0.02,-0.04,0.98,2.32,2.56,0.67,-16.22,22.74,-32.53
-0.02,-0.03,0.98,2.2,2.5,0.61,-15.95,21.72,-32.51
-0.02,-0.03,0.98,2.08,2.32,0.73,-16.24,21.83,-31.19
-0.02,-0.04,0.98,2.38,2.56,0.49,-15.94,21.56,-32.23
-0.02,-0.04,0.98,2.32,2.38,0.61,-15.97,22.18,-32.71
-0.02,-0.03,0.98,2.2,2.26,0.43,-15.72,22.24,-32.45
-0.02,-0.03,0.99,2.32,2.56,0.55,-15.63,21.92,-32.6
-0.02,-0.04,0.99,2.32,2.2,0.49,-15.82,21.83,-32.73
-0.02,-0.04,0.98,2.2,2.26,0.73,-15.43,22.41,-32.43
-0.02,-0.04,0.98,2.2,2.38,0.67,-15.52,21.72,-32.8
-0.02,-0.03,0.98,2.32,2.5,0.61,-15.26,21.46,-33
-0.02,-0.03,0.99,2.38,2.44,0.43,-15.93,21.53,-32.26
-0.02,-0.04,0.99,2.14,2.14,0.67,-15.52,21.95,-32.9
-0.02,-0.03,0.98,2.26,2.44,0.61,-15.94,21.75,-31.86
-0.02,-0.04,0.99,2.26,2.38,0.49,-15.99,21.94,-32.95
-0.02,-0.04,0.99,2.26,2.44,0.61,-16.38,21.51,-32.45
-0.02,-0.04,0.99,2.2,2.62,0.73,-16.31,21.51,-32.71
-0.02,-0.04,0.99,2.32,2.44,0.55,-15.53,21.45,-33.18
-0.02,-0.03,0.98,2.32,2.38,0.61,-15.59,21.83,-33.18
-0.02,-0.04,0.98,2.08,2.44,0.73,-15.1,21.22,-33.39
-0.02,-0.04,0.99,2.32,2.32,0.61,-15.81,21.89,-32.19
-0.02,-0.04,0.99,2.44,2.32,0.61,-15.58,21.29,-32.23
-0.02,-0.04,0.98,2.26,2.38,0.61,-16.72,21.28,-34.02
-0.02,-0.04,0.98,2.44,2.32,0.61,-16.17,21.89,-31.38
-0.02,-0.03,0.99,2.14,2.32,0.73,-16.17,21.51,-32.54
-0.02,-0.04,0.99,2.2,2.56,0.49,-15.7,21.4,-32.39
-0.02,-0.04,0.98,2.32,2.38,0.49,-15.83,21.41,-32.24
-0.02,-0.04,0.99,2.44,2.44,0.67,-15.6,20.74,-32.91
-0.02,-0.03,0.98,2.26,2.44,0.61,-15.32,21.69,-31.88
-0.02,-0.03,0.99,2.32,2.38,0.49,-16.02,21.72,-32.73
-0.02,-0.03,0.99,2.38,2.44,0.55,-15.78,21.36,-32.14
-0.02,-0.03,0.98,2.5,2.44,0.73,-16,21.66,-31.99
-0.02,-0.04,0.98,2.26,2.5,0.67,-15.2,20.98,-32.63
-0.02,-0.04,0.99,2.32,2.38,0.61,-15.54,21.84,-30.98
-0.02,-0.03,0.99,2.14,2.32,0.49,-16.13,21.48,-32.04
-0.02,-0.03,0.98,2.2,2.38,0.55,-15.42,21.51,-33.98
